iri,label,definition,type,parent_iri
https://w3id.org/gcdfo/salmon#AgeBasisScheme,Age basis scheme,"Controlled vocabulary for the reference event used by an age value (for example, age at return).",skos_concept,
https://w3id.org/gcdfo/salmon#AgeClassValue,Age class value,An integer-like age class value used as a compositional constraint in salmon measurements.,skos_concept,
https://w3id.org/gcdfo/salmon#AgeClassValueScheme,Age class value scheme,Controlled vocabulary for integer-like age class values used as constraints on salmon measurements.,skos_concept,
https://w3id.org/gcdfo/salmon#AgeDimension,Age dimension,"The age component represented by a value (total age, freshwater years, or ocean years).",skos_concept,
https://w3id.org/gcdfo/salmon#AgeDimensionScheme,Age dimension scheme,"Controlled vocabulary for which age component is represented (total age, freshwater years, or ocean years).",skos_concept,
https://w3id.org/gcdfo/salmon#AgeNotation,Age notation,A notation system used to encode salmon age values in stock assessment data.,skos_concept,
https://w3id.org/gcdfo/salmon#AgeNotationScheme,Age notation scheme,"Controlled vocabulary for salmon age notation systems (for example, Gilbert-Rich and European notation).",skos_concept,
https://w3id.org/gcdfo/salmon#AmberZone,Amber zone,"Amber status implies caution in the management of the Conservation Unit. While a CU in the Amber zone should be at a low risk of loss, there will be a degree of lost production. Decisions about the conservation of CUs in the Amber zone will involve broader consideration of biological, social, and economic issues. ",skos_concept,
https://w3id.org/gcdfo/salmon#AreaUnderTheCurve,Area Under the Curve,Integrates serial counts over time using a survey-life parameter; may apply observer efficiency.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#BenchmarkLevelScheme,Benchmark Level Scheme,Controlled vocabulary for generic benchmark-level qualifiers usable as I-ADOPT constraint values attached to benchmark variables or values.,skos_concept,
https://w3id.org/gcdfo/salmon#BiologicalBenchmarkAndIndicatorScheme,Biological Benchmark and Indicator Scheme,"Controlled vocabulary for key biological benchmarks, performance indicators, and reference points used in salmon stock assessment and management (e.g., SMSY, Sgen, spawner abundance).",skos_concept,
https://w3id.org/gcdfo/salmon#BroodYear,Brood year,"TThe parental year for a group of returning salmon, i.e. the calendar year when the majority of parents of these fish spawned.",owl_class,https://w3id.org/gcdfo/salmon#YearBasis
https://w3id.org/gcdfo/salmon#BreachBypass,Bypass/Breach Risk,Bypass or breach risks not monitored and verified negligible,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#CalibratedTimeSeries,Calibrated Time Series,Regression/state-space model calibrated to a Type-1/2 series converts a lower-precision index to abundance.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#CatchContext,Catch context,Measurement context indicating values refer to fishery catch.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#CatchYear,Catch year,The calendar year in which returning salmon are caught in fisheries (as opposed to the brood year in which the cohort was spawned).,owl_class,https://w3id.org/gcdfo/salmon#YearBasis
https://w3id.org/gcdfo/salmon#Classification,Classification,Classification/attribution not documented,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#ConfidenceCategory,Confidence category,"Categorical confidence rating (High, Medium, Low) for stock assessment metrics.",skos_concept,
https://w3id.org/gcdfo/salmon#ConservationUnit,Conservation Unit,"A group of fish sufficiently isolated from other groups that, if extirpated, is very unlikely to recolonize naturally within an acceptable timeframe.",owl_class,https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum
https://w3id.org/gcdfo/salmon#conservationUnitOf,Conservation Unit of,Relates a Conservation Unit to the Stock Management Unit it belongs to.,owl_object_property,
https://w3id.org/gcdfo/salmon#COSEWICStatusScheme,COSEWIC Status Scheme,Controlled vocabulary for COSEWIC statuses,skos_concept,
https://w3id.org/gcdfo/salmon#CrossSectionCoverage,Cross-section Coverage,Incomplete cross-section coverage,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#DataQualityRatingContext,Data quality rating context,Measurement context indicating categorical or ordinal quality ratings.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#DataModelProvenanceTheme,"Data, Models, and Provenance","Data models, analytical workflows, provenance, quality dimensions, and metadata supporting salmon science.",skos_concept,
https://w3id.org/gcdfo/salmon#Deme,Deme,"A local interbreeding group of organisms within a species. In salmon, a deme typically corresponds to a spawning population at a specific site. Demes are the finest biological unit and make up populations.",owl_class,http://rs.tdwg.org/dwc/terms/Organism
https://w3id.org/gcdfo/salmon#demeOf,deme of,Relates a deme to the population it belongs to.,owl_object_property,
https://w3id.org/gcdfo/salmon#Detectability,Detectability,Detectability factors not validated,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#DeviceConfiguration,Device Configuration,Device not within operational specifications,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#Documentation,Documentation,Missing SIL/SEN logs or QA/methods report,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#DowngradeCriteria,Downgrade Criteria,Criteria that may result in downgrading an escapement estimate type classification,skos_concept,
https://w3id.org/gcdfo/salmon#DowngradeCriteriaScheme,Downgrade Criteria Scheme,Controlled vocabulary for estimate type downgrade criteria,skos_concept,
https://w3id.org/gcdfo/salmon#EffortStandardization,Effort Standardization,Effort not standardized,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#ElectrofishingCount,Electrofishing Count,Effort-standardized electrofishing passes used to generate catch-per-unit-effort (CPUE) indices.,skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#EnumerationMethod,Enumeration Method,A method used to enumerate or count salmon in the field,skos_concept,
https://w3id.org/gcdfo/salmon#EnvironmentalConditions,Environmental Conditions,Environmental conditions outside specifications,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#Escapement,Escapement,The number of mature salmon that pass through (or escape) fisheries and return to fresh water to spawn.,owl_class,http://purl.obolibrary.org/obo/BFO_0000015
https://w3id.org/gcdfo/salmon#EnumerationMethodScheme,Escapement Enumeration Method Scheme,Controlled vocabulary for salmon enumeration methods,skos_concept,
https://w3id.org/gcdfo/salmon#EstimateMethodScheme,Escapement Estimate Method Scheme,Controlled vocabulary for salmon estimate methods,skos_concept,
https://w3id.org/gcdfo/salmon#EstimateTypeScheme,Escapement Estimate Type Scheme,Controlled vocabulary for Hyatt 1997 estimate types,skos_concept,
https://w3id.org/gcdfo/salmon#EscapementMeasurement,Escapement measurement,A measurement or estimate of escapement tied to a stock and a survey event.,owl_class,http://purl.obolibrary.org/obo/IAO_0000109
https://w3id.org/gcdfo/salmon#EscapementSurveyEvent,Escapement Survey Event,A survey event specifically for estimating escapement.,owl_class,https://w3id.org/gcdfo/salmon#SurveyEvent
https://w3id.org/gcdfo/salmon#EstimateMethod,Estimate Method,A method used to analyze and estimate salmon abundance from enumeration data,skos_concept,
https://w3id.org/gcdfo/salmon#EstimateType,Estimate Type,Classification of escapement estimate quality based on Hyatt 1997 framework,skos_concept,
https://w3id.org/gcdfo/salmon#EuropeanAgeNotation,European age notation,"Salmon age notation that records freshwater years followed by ocean years (for example, 1.2).",skos_concept,https://w3id.org/gcdfo/salmon#AgeNotation
https://w3id.org/gcdfo/salmon#ExpansionMathematicalOperations,Expansion/Mathematical Operations,Applies expansion factors or arithmetic transforms to a base count/index.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#ExploitationRate,Exploitation rate,"Expressed as a percentage, the proportion of the total return of adult salmon in a given year that die as a result of fishing activity.",owl_class,https://w3id.org/gcdfo/salmon#TargetOrLimitRateOrAbundance
https://w3id.org/gcdfo/salmon#FishStockProvisions,Fish Stocks Provisions,"Legal provisions in Canada's Fisheries Act and regulations related to maintaining and rebuilding fish stocks, including obligations triggered when reference points are breached.",skos_concept,https://w3id.org/gcdfo/salmon#PolicyFramework
https://w3id.org/gcdfo/salmon#FisheriesManagementTheme,Fisheries Management,"Fishery openings, harvest control rules, catch/effort measures, and exploitation monitoring for salmon fisheries.",skos_concept,
https://w3id.org/gcdfo/salmon#FixedSiteCensusElectronic,Fixed Site Census (Electronic),"Automated counting at a constrained opening using electronic/optical counters, resistivity counters, or video/camera systems. QA review of automated events, cross-section coverage, and uptime/coverage are documented.",skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#FixedSiteCensusManual,Fixed Site Census (Manual),Salmon are guided through a controlled opening in a fence/weir where trained observers visually tally each passage event on a continuous or daily schedule. Counting chambers/windows and SIL/SEN daily logs document coverage; bypass routes are monitored and closed where possible.,skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#FixedStationTally,Fixed‑Station Tally,Seasonal total = roll‑up of daily/continuous counts from a fixed (non‑sonar) station; simple arithmetic with documented coverage.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#FreshwaterAgeDimension,Freshwater age dimension,Age value represents years spent in freshwater.,skos_concept,https://w3id.org/gcdfo/salmon#AgeDimension
https://w3id.org/gcdfo/salmon#GeneticsStockCompositionTheme,Genetics and Stock Composition,"Genetic markers, assays, and analyses used to infer stock composition, parentage, and population structure.",skos_concept,
https://w3id.org/gcdfo/salmon#GilbertRichAgeNotation,Gilbert-Rich age notation,"Salmon age notation where total age is annotated with freshwater years as a subscript-like suffix (for example, 4_2 for total age 4 with 2 freshwater years).",skos_concept,https://w3id.org/gcdfo/salmon#AgeNotation
https://w3id.org/gcdfo/salmon#GreenZone,Green zone,"Social and economic considerations will tend to be the primary drivers for the management of Conservation Units in the Green zone, though ecosystem or other non-consumptive use values could also be considered.",skos_concept,
https://w3id.org/gcdfo/salmon#HabitatEcosystemClimateTheme,"Habitat, Ecosystem, and Climate Pressures","Habitat attributes, ecosystem conditions, and climate or environmental stressors affecting salmon.",skos_concept,
https://w3id.org/gcdfo/salmon#hasConservationUnit,has Conservation Unit,Relates a Stock Management Unit to one of its constituent Conservation Units.,owl_object_property,
https://w3id.org/gcdfo/salmon#hasDeme,has deme,Relates a population to one of its constituent demes.,owl_object_property,
https://w3id.org/gcdfo/salmon#hasPopulation,has population,Relates a Conservation Unit to one of its constituent populations.,owl_object_property,
https://w3id.org/gcdfo/salmon#HatcheryOrigin,Hatchery-origin,Individuals that were born or reared in a hatchery facility.,skos_concept,https://w3id.org/gcdfo/salmon#SalmonOrigin
https://w3id.org/gcdfo/salmon#RapidStatusConfidenceHigh,High confidence,Rapid status confidence category indicating that high-quality abundance metrics support the result.,skos_concept,
https://w3id.org/gcdfo/salmon#HydroacousticModelling,Hydroacoustic Modelling,Model pipeline converts sonar detections to passage totals; sets range/angle/blind zones; species/size attribution rules documented.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#HydroacousticSonarCount,Hydroacoustic Sonar Count,"Sonar detections (ARIS, DIDSON, or other hydroacoustic systems) with documented coverage, visibility/noise conditions, and uptime. Raw detections require processing through a modelling/classification pipeline.",skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#InRiverPhase,In-river phase,Freshwater in-river phase (migration and/or residence) outside the marine environment.,skos_concept,https://w3id.org/gcdfo/salmon#LifePhase
https://w3id.org/gcdfo/salmon#IndicatorRiver,Indicator river,"Indicator streams are those that have been identified in some Regions as providing more reliable indices of spawner abundance. Indicator streams tend to give relatively accurate annual spawner abundance estimates, given that they use higher quality methodologies and are more intensively/regularly surveyed. Indicator streams are also assumed to be representative of spawner returns to other streams in close geographic proximity.",owl_class,
https://w3id.org/gcdfo/salmon#InfillMethod,Infill Method,Interpolation used for missing data; defensibility must be documented,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#LifePhase,Life phase,"A phase or segment used to stratify salmon measurements by where or when they apply (e.g., ocean phase, terminal phase).",skos_concept,
https://w3id.org/gcdfo/salmon#LifePhaseScheme,Life phase scheme,"Controlled vocabulary for life-phase or fishery/migration segment qualifiers used to stratify measurements (e.g., ocean, terminal, mainstem).",skos_concept,
https://w3id.org/gcdfo/salmon#LimitReferencePoint,Limit reference point,"A fish stock experiencing serious harm may be depleted to the point where it has impaired productivity or reproductive capacity. As a result, the stock would be less resilient to fishing and could not easily rebuild. Serious harm may be irreversible, or only slowly reversible over the long-term, and can be due to fishing, other human-induced impacts, or natural causes. Under the Precautionary Approach policy and the Fish Stocks Provisions (FSPs), breaching the LRP is a trigger for a rebuilding plan.",owl_class,https://w3id.org/gcdfo/salmon#ReferencePoint
https://w3id.org/gcdfo/salmon#RapidStatusConfidenceLow,Low confidence,"Rapid status confidence category indicating limited supporting data (for example, derived from trend metrics alone).",skos_concept,
https://w3id.org/gcdfo/salmon#LowerBenchmark,Lower benchmark,"A lower-threshold benchmark value, typically delineating the boundary between Red and Amber status zones.",skos_concept,
https://w3id.org/gcdfo/salmon#LowerBiologicalBenchmark,Lower biological benchmark,Lower benchmark value for a metric used to delineate Wild Salmon Policy status zones (typically the boundary between Red and Amber zones).,owl_class,https://w3id.org/gcdfo/salmon#MetricBenchmark
https://w3id.org/gcdfo/salmon#MainstemPhase,Mainstem phase,Freshwater mainstem migration phase in a river system (often corresponding to mainstem in-river fisheries or monitoring segments).,skos_concept,https://w3id.org/gcdfo/salmon#LifePhase
https://w3id.org/gcdfo/salmon#ManagementReferenceContext,Management reference context,Measurement context indicating values are management benchmarks or reference-oriented metrics.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#MarkRecaptureAnalysis,Mark-Recapture Analysis,"Capture-recapture estimators (Petersen, Jolly-Seber, open/Bayesian models) applied to field marks/recoveries.",skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#MarkRecaptureAssumptions,Mark-Recapture Assumptions,MR assumptions not evaluated,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#MarkRecaptureFieldProgram,Mark-Recapture Field Program,Field program involving marking and subsequent recapture/recovery of tagged fish with documented assumptions and recovery coverage.,skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#MeasurementContext,Measurement context,A context qualifier used to disambiguate the interpretation of a measurement column.,skos_concept,
https://w3id.org/gcdfo/salmon#MeasurementContextScheme,Measurement context scheme,"Controlled vocabulary for compositional measurement context qualifiers (for example, catch context, run context).",skos_concept,
https://w3id.org/gcdfo/salmon#RapidStatusConfidenceMedium,Medium confidence,Rapid status confidence category indicating mixed evidence or reliance on trend metrics supplemented by some abundance information.,skos_concept,
https://w3id.org/gcdfo/salmon#MethodUnknown,Method Unknown/Inconsistent,Survey/analytical methods not adequately identified/consistent,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#MetricBenchmark,Metric benchmark,"Benchmark value for a metric that helps delineate status zones (for example, the limit reference point for absolute abundance).",owl_class,http://purl.obolibrary.org/obo/IAO_0000030
https://w3id.org/gcdfo/salmon#MonitoringFieldWorkTheme,Monitoring and Field Work,"Field observations, sampling protocols, survey events, gear, and measurement methods used to collect salmon data.",skos_concept,
https://w3id.org/gcdfo/salmon#NaturalOrigin,Natural-origin,Individuals that are born and reared in the wild (natural environment).,skos_concept,https://w3id.org/gcdfo/salmon#SalmonOrigin
https://w3id.org/gcdfo/salmon#NumberOfVisits,Number of Visits,Insufficient number of survey visits,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#ObservedRateOrAbundance,Observed rate or abundance,"A measurement datum representing an empirically observed rate, count, or abundance derived from monitoring or survey data.",owl_class,http://purl.obolibrary.org/obo/IAO_0000109
https://w3id.org/gcdfo/salmon#OceanAgeDimension,Ocean age dimension,Age value represents years spent in the marine environment.,skos_concept,https://w3id.org/gcdfo/salmon#AgeDimension
https://w3id.org/gcdfo/salmon#OceanPhase,Ocean phase,Phase of the salmon life cycle or assessment period occurring in the marine environment.,skos_concept,https://w3id.org/gcdfo/salmon#LifePhase
https://w3id.org/gcdfo/salmon#PeakCountAnalysis,Peak Count Analysis,Uses the peak survey (live ± dead variants) as the season estimate/index.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#PolicyFramework,Policy framework,"A policy, legal, or governance framework that defines how salmon status metrics, benchmarks, or reference points are set and interpreted.",skos_concept,
https://w3id.org/gcdfo/salmon#PolicyFrameworkScheme,Policy framework scheme,"Controlled vocabulary for policy and governance frameworks referenced by salmon assessment metrics and benchmarks (e.g., WSP, PA).",skos_concept,
https://w3id.org/gcdfo/salmon#PolicyGovernanceTheme,"Policy, Governance, and Organizational Structure","DFO policy frameworks, governance, regulations, and organizational structure relevant to salmon management.",skos_concept,
https://w3id.org/gcdfo/salmon#Population,Population,"A group of organisms of the same species occupying a defined area that interbreed and share a gene pool. In salmon, populations are composed of one or more demes and form the biological basis for Conservation Units.",owl_class,http://rs.tdwg.org/dwc/terms/Organism
https://w3id.org/gcdfo/salmon#populationOf,population of,Relates a population to the Conservation Unit it belongs to.,owl_object_property,
https://w3id.org/gcdfo/salmon#PrecautionaryApproach,Precautionary Approach,"DFO policy framework for applying precaution in fisheries decision-making, including use of reference points and stock status zones.",skos_concept,https://w3id.org/gcdfo/salmon#PolicyFramework
https://w3id.org/gcdfo/salmon#PrecisionAccuracy,Precision/Accuracy,Precision/accuracy weaker than expected for type,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#RapidStatusConfidenceScheme,Rapid status confidence scheme,Controlled vocabulary for categorical confidence ratings attached to rapid status assessments.,skos_concept,
https://w3id.org/gcdfo/salmon#ReachCoverage,Reach Coverage,Insufficient reach coverage,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#RecruitStageContext,Recruit stage context,Measurement context indicating values refer to recruits.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#RedZone,Red zone,"A Conservation Unit in the Red zone is undesirable because of the risk of extirpation, and the loss of ecological benefits and salmon production. Changes in status will trigger management actions that will vary depending on species, geographic regions, and cause of the decline.",skos_concept,
https://w3id.org/gcdfo/salmon#ReddCount,Redd Count,"Redd counts with documentation of detectability, timing, and reach coverage. Conversion to spawner estimates requires spawners-per-redd factors handled in analysis.",skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#ReddExpansionAnalysis,Redd Expansion Analysis,Converts redd counts to spawner estimates using spawners-per-redd expansion factors.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#ReferencePoint,Reference point,Reference points are used as targets to achieve or as limits to avoid.,owl_class,http://purl.obolibrary.org/obo/IAO_0000030
https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum,Reporting or management stratum,"An information-defined grouping of fish populations used for reporting, conservation assessment, or management purposes. Examples include Conservation Units (CUs), Stock Management Units (MUs), and Designatable Units (DUs).",owl_class,http://purl.obolibrary.org/obo/IAO_0000030
https://w3id.org/gcdfo/salmon#ReviewQA,Review/QA,Insufficient QA review of automated events,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#RunContext,Run context,Measurement context indicating values refer to run size or returning run composition.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#RunCoverage,Run Coverage,Run-window coverage < 95% of season days,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#SalmonEnhancementHatcheriesTheme,Salmon Enhancement and Hatcheries,"Hatchery production, broodstock management, releases, and enhancement program practices for salmon.",skos_concept,
https://w3id.org/gcdfo/salmon#SalmonOrigin,Salmon origin,"Origin category describing whether salmon are naturally produced, hatchery produced, or mixed-origin.",skos_concept,
https://w3id.org/gcdfo/salmon#SalmonOriginScheme,Salmon Origin Scheme,"Controlled vocabulary for describing the origin of individual salmon (e.g., natural-origin, hatchery-origin, mixed-origin).",skos_concept,
https://w3id.org/gcdfo/salmon#SpawnerStageContext,Spawner stage context,Measurement context indicating values refer to spawners or spawning-stage fish.,skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#SpeciesAtRiskRecoveryTheme,Species at Risk and Recovery,"COSEWIC/SARA recovery planning, critical habitat, threats, and status assessments for species of conservation concern.",skos_concept,
https://w3id.org/gcdfo/salmon#Stock,Stock,"An operationally-defined grouping of salmon used for assessment and management purposes. A stock is a management unit or reporting stratum, not a biological organism.",owl_class,https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum
https://w3id.org/gcdfo/salmon#StockAssessmentTheme,Stock Assessment,"Stock assessment models, benchmarks, status determinations, and performance metrics for salmon units.",skos_concept,
https://w3id.org/gcdfo/salmon#StockAssessment,Stock assessment,"The scientific process of analyzing data to estimate the abundance and productivity of fish stocks in the past, present, and future. It is the backbone of successful science-based fisheries management",owl_class,http://purl.obolibrary.org/obo/BFO_0000015
https://w3id.org/gcdfo/salmon#StockManagementUnit,Stock Management Unit,A collection of stocks that are managed together with a joint stock status.,owl_class,https://w3id.org/gcdfo/salmon#ReportingOrManagementStratum
https://w3id.org/gcdfo/salmon#StockStatusZoneScheme,Stock Status Zone Scheme,Controlled vocabulary for stock status zones under the Precautionary Approach.,skos_concept,
https://w3id.org/gcdfo/salmon#SurveyEvent,Survey event,"A field event that collects information about key fish stocks to track their status, and track progress to implement fishery policies and measures for these stocks.",owl_class,http://rs.tdwg.org/dwc/terms/Event
https://w3id.org/gcdfo/salmon#SurvivalOrMortalityContext,Survival or mortality context,"Measurement context indicating values represent survival, mortality, or related rates.",skos_concept,https://w3id.org/gcdfo/salmon#MeasurementContext
https://w3id.org/gcdfo/salmon#TargetOrLimitRateOrAbundance,Target or limit rate or abundance,"A value specification representing a policy- or model-defined target or limit, such as TAC or UMSY.",owl_class,http://purl.obolibrary.org/obo/IAO_0000109
https://w3id.org/gcdfo/salmon#TerminalPhase,Terminal phase,Phase occurring in terminal areas near river mouths or spawning areas (often including terminal fisheries and local migration to spawning sites).,skos_concept,https://w3id.org/gcdfo/salmon#LifePhase
https://w3id.org/gcdfo/salmon#theme,theme,"Associates OWL classes and SKOS concepts with high-level thematic concept schemes (e.g., Stock Assessment, GSI, Policy).",owl_annotation_property,
https://w3id.org/gcdfo/salmon#ThemeScheme,Theme Scheme,High-level thematic concept scheme for organizing DFO Salmon Ontology classes and concepts.,skos_concept,
https://w3id.org/gcdfo/salmon#Timing,Timing,Poor timing of surveys,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#TotalAgeDimension,Total age dimension,Age value represents total age in years.,skos_concept,https://w3id.org/gcdfo/salmon#AgeDimension
https://w3id.org/gcdfo/salmon#TotalExploitationRate,Total exploitation rate,"The overall proportion of the total return of adult salmon removed by all fisheries over a defined period, aggregating across gear or fishery components.",owl_class,https://w3id.org/gcdfo/salmon#ExploitationRate
https://w3id.org/gcdfo/salmon#TrapCount,Trap Count,"Trap-based counts from non-spanning traps with documented emptying schedule, efficiency measurements, and coverage information.",skos_concept,https://w3id.org/gcdfo/salmon#EnumerationMethod
https://w3id.org/gcdfo/salmon#TrapEfficiency,Trap Efficiency,Trap efficiency not measured/validated,skos_concept,https://w3id.org/gcdfo/salmon#DowngradeCriteria
https://w3id.org/gcdfo/salmon#TrapModelAnalysis,Trap Model Analysis,Trap-based counts adjusted with efficiency/coverage models to estimate total passage.,skos_concept,https://w3id.org/gcdfo/salmon#EstimateMethod
https://w3id.org/gcdfo/salmon#Type1,"Type-1, True Abundance, high resolution","Total, seasonal counts through fence or fishway; virtually no bypass. Simple, often single step analysis. Reliable resolution of between year differences >10% (in absolute units).",skos_concept,https://w3id.org/gcdfo/salmon#EstimateType
https://w3id.org/gcdfo/salmon#Type2,"Type-2, True Abundance, medium resolution","Indirect estimate of total spawner abundance with qualified accuracy and known precision (i.e., a variance estimate—an explicit quantitative measure of uncertainty around the estimate). Derived from high-effort, standardized methods (e.g., mark-recapture, serial counts for area under the curve) with documented analytical conversions (including interpolation/calibration as needed). Reported in absolute units (estimate ± variance). Reliable resolution of between-year differences >25% (in absolute units).",skos_concept,https://w3id.org/gcdfo/salmon#EstimateType
https://w3id.org/gcdfo/salmon#Type3,"Type-3, Relative Abundance, high resolution","Relative abundance index (i.e., not an absolute count) derived from moderate to high effort surveys (typically 3 or more site visits) using standardized methods applied consistently between and within years (e.g., equal-effort surveys executed by walk, swim, overflight). Accuracy and precision are not fully quantified (i.e., no explicit variance estimate), but are assumed stable enough for within-series comparisons. Reliable resolution of between-year differences >25% (in relative units).",skos_concept,https://w3id.org/gcdfo/salmon#EstimateType
https://w3id.org/gcdfo/salmon#Type4,"Type-4, Relative Abundance, medium resolution","Low to moderate effort (1-4 trips), known survey method. Simple analysis by known methods. Reliable resolution of between year differences >200% (in relative units).",skos_concept,https://w3id.org/gcdfo/salmon#EstimateType
https://w3id.org/gcdfo/salmon#Type5,"Type-5, Relative Abundance, low resolution","Low effort (e.g. 1 trip), use of vaguely defined, inconsistent or poorly executed methods. Unknown to ill defined; inconsistent or poorly executed. Uncertain numeric comparisons, but high reliability for presence or absence.",skos_concept,https://w3id.org/gcdfo/salmon#EstimateType
